"","CommonName","aveUAI","Species_eBird","Order_eBird","Species_Jetz"
"1","Ameline Swiftlet",1.594981561,"Aerodramus amelis","Caprimulgiformes","Collocalia amelis"
"2","Ameline Swiftlet",1.594981561,"Aerodramus amelis","Caprimulgiformes","Collocalia vanikorensis"
"3","Ameline Swiftlet",1.594981561,"Aerodramus amelis","Caprimulgiformes","Collocalia palawanensis"
"4","Black-and-white Mannikin",1.13683464533333,"Spermestes bicolor","Passeriformes","Lonchura bicolor"
"5","Black-and-white Mannikin",1.13683464533333,"Spermestes bicolor","Passeriformes","Lonchura nigriceps"
"6","Black-browed Albatross",0.64984128075,"Thalassarche melanophris","Procellariiformes","Thalassarche impavida"
"7","Black-browed Albatross",0.64984128075,"Thalassarche melanophris","Procellariiformes","Thalassarche melanophrys"
"8","Black-capped Hemispingus",0.0643881425,"Kleinothraupis atropileus","Passeriformes","Hemispingus atropileus"
"9","Black-capped Hemispingus",0.0643881425,"Kleinothraupis atropileus","Passeriformes","Hemispingus auricularis"
"10","Black-eared Hemispingus",0.1186143835,"Sphenopsis melanotis","Passeriformes","Hemispingus melanotis"
"11","Black-eared Hemispingus",0.1186143835,"Sphenopsis melanotis","Passeriformes","Hemispingus ochraceus"
"12","Black-eared Hemispingus",0.1186143835,"Sphenopsis melanotis","Passeriformes","Hemispingus piurae"
"13","Green Parakeet",3.443845175,"Psittacara holochlorus","Psittaciformes","Aratinga holochlora"
"14","Green Parakeet",3.443845175,"Psittacara holochlorus","Psittaciformes","Aratinga rubritorquis"
"15","Lesser Whitethroat",1.76752431017647,"Curruca curruca","Passeriformes","Sylvia althaea"
"16","Lesser Whitethroat",1.76752431017647,"Curruca curruca","Passeriformes","Sylvia minula"
"17","Lesser Whitethroat",1.76752431017647,"Curruca curruca","Passeriformes","Sylvia curruca"
"18","Rock Martin",1.87142516785714,"Ptyonoprogne fuligula","Passeriformes","Hirundo fuligula"
"19","Rock Martin",1.87142516785714,"Ptyonoprogne fuligula","Passeriformes","Hirundo obsoleta"
"20","Silver Gull",1.5560498418,"Chroicocephalus novaehollandiae","Charadriiformes","Larus scopulinus"
"21","Silver Gull",1.5560498418,"Chroicocephalus novaehollandiae","Charadriiformes","Larus novaehollandiae"
"22","Yellow Warbler",1.88222644980488,"Setophaga petechia","Passeriformes","Dendroica petechia"
"23","Yellow Warbler",1.88222644980488,"Setophaga petechia","Passeriformes","Dendroica aestiva"
